date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:50	18412/18412	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:29%20GMT	https://www.bismigroup.com/about-us/	F:/bismi/bismi/www.bismigroup.com/about-us/index.html	(from https://www.bismigroup.com/)
16:28:50	0/-1	---M--	302	error ('')			https://www.bismigroup.com/gallery/Awards	F:/bismi/bismi/www.bismigroup.com/gallery/Awards.16.delayed	(from https://www.bismigroup.com/)
16:28:51	19603/19603	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:29%20GMT	https://www.bismigroup.com/bismideal/	F:/bismi/bismi/www.bismigroup.com/bismideal/index.html	(from https://www.bismigroup.com/)
16:28:51	30450/30450	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:29%20GMT	https://www.bismigroup.com/bismi-hypermarket/	F:/bismi/bismi/www.bismigroup.com/bismi-hypermarket/index.html	(from https://www.bismigroup.com/)
16:28:51	27539/27539	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:30%20GMT	https://www.bismigroup.com/bismiconnect/	F:/bismi/bismi/www.bismigroup.com/bismiconnect/index.html	(from https://www.bismigroup.com/)
16:28:51	14372/14372	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:30%20GMT	https://www.bismigroup.com/manger-foods/	F:/bismi/bismi/www.bismigroup.com/manger-foods/index.html	(from https://www.bismigroup.com/)
16:28:51	2141/2141	---M--	200	added ('OK')	image/jpeg	etag:%22b43e8ed06e30d41:0%22	https://www.bismigroup.com/Content/images/link-bismideal-thumb.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/link-bismideal-thumb.jpg	(from https://www.bismigroup.com/)
16:28:52	13933/13933	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:30%20GMT	https://www.bismigroup.com/blog/	F:/bismi/bismi/www.bismigroup.com/blog/index.html	(from https://www.bismigroup.com/)
16:28:52	14032/14032	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:30%20GMT	https://www.bismigroup.com/gallery/	F:/bismi/bismi/www.bismigroup.com/gallery/index.html	(from https://www.bismigroup.com/)
16:28:52	15032/15032	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:30%20GMT	https://www.bismigroup.com/events/	F:/bismi/bismi/www.bismigroup.com/events/index.html	(from https://www.bismigroup.com/)
16:28:52	15337/15337	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:31%20GMT	https://www.bismigroup.com/career/	F:/bismi/bismi/www.bismigroup.com/career/index.html	(from https://www.bismigroup.com/)
16:28:52	2248/2248	---M--	200	added ('OK')	image/jpeg	etag:%2274318bd06e30d41:0%22	https://www.bismigroup.com/Content/images/link-appliances-thumb.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/link-appliances-thumb.jpg	(from https://www.bismigroup.com/)
16:28:52	26573/26573	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:31%20GMT	https://www.bismigroup.com/branch/	F:/bismi/bismi/www.bismigroup.com/branch/index.html	(from https://www.bismigroup.com/)
16:28:53	20081/20081	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:31%20GMT	https://www.bismigroup.com/contact-us/	F:/bismi/bismi/www.bismigroup.com/contact-us/index.html	(from https://www.bismigroup.com/)
16:28:53	2119/2119	---M--	200	added ('OK')	image/jpeg	etag:%22355994d06e30d41:0%22	https://www.bismigroup.com/Content/images/link-manjer-thumb.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/link-manjer-thumb.jpg	(from https://www.bismigroup.com/)
16:28:53	3531/3531	---M--	200	added ('OK')	image/jpeg	etag:%2295d292d06e30d41:0%22	https://www.bismigroup.com/Content/images/link-hypermarket-thumb.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/link-hypermarket-thumb.jpg	(from https://www.bismigroup.com/)
16:28:54	16556/16556	---M--	200	added ('OK')	image/jpeg	etag:%2214b88cd06e30d41:0%22	https://www.bismigroup.com/Content/images/link-bismideal-main.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/link-bismideal-main.jpg	(from https://www.bismigroup.com/)
16:28:54	17820/17820	---M--	200	added ('OK')	image/jpeg	etag:%2274318bd06e30d41:0%22	https://www.bismigroup.com/Content/images/link-appliances-main.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/link-appliances-main.jpg	(from https://www.bismigroup.com/)
16:28:55	19940/19940	---M--	200	added ('OK')	image/jpeg	etag:%22355994d06e30d41:0%22	https://www.bismigroup.com/Content/images/link-manjer-main.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/link-manjer-main.jpg	(from https://www.bismigroup.com/)
